0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,? Summer,01 !,02 !,03 !,Total,? Winter,01 !,02 !,03 !,Total,? Games,01 !,02 !,03 !,Combined total
United Statesÿ(USA) [P] [Q] [R] [Z],26,976,757,666,2399,22,96,102,84,282,48,1072,859,750,2681
Uruguayÿ(URU),20,2,2,6,10,1,0,0,0,0,21,2,2,6,10
Uzbekistanÿ(UZB),5,5,5,10,20,6,1,0,0,1,11,6,5,10,21
Venezuelaÿ(VEN),17,2,2,8,12,4,0,0,0,0,21,2,2,8,12
Vietnamÿ(VIE),14,0,2,0,2,0,0,0,0,0,14,0,2,0,2
Virgin Islandsÿ(ISV),11,0,1,0,1,7,0,0,0,0,18,0,1,0,1
Yugoslaviaÿ(YUG) [YUG],16,26,29,28,83,14,0,3,1,4,30,26,32,29,87
Independent Olympic Participantsÿ(IOP) [IOP],1,0,1,2,3,0,0,0,0,0,1,0,1,2,3
Zambiaÿ(ZAM) [ZAM],12,0,1,1,2,0,0,0,0,0,12,0,1,1,2
Zimbabweÿ(ZIM) [ZIM],12,3,4,1,8,1,0,0,0,0,13,3,4,1,8
Mixed teamÿ(ZZX) [ZZX],3,8,5,4,17,0,0,0,0,0,3,8,5,4,17
Totals,27,4809,4775,5130,14714,22,959,958,948,2865,49,5768,5733,6078,17579
